Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,AD_Won%
1497,Lisandro Magallán\Lisandro-Magallan,ar ARG,DF,Alavés,es La Liga,25,1993,13.3,4,0,0,19,5,1,0,6,13,0,1,0,126,33,21,61.1
1498,Francesco Magnanelli\Francesco-Magnanelli,it ITA,MF,Sassuolo,it Serie A,34,1984,15.5,5,0,0,18,35,0,4,26,19,0,0,0,198,15,10,60
1499,Giangiacomo Magnani\Giangiacomo-Magnani,it ITA,DFMF,Brescia,it Serie A,23,1995,1.3,2,0,0,2,3,0,0,2,0,0,1,0,9,5,0,100
1500,Giangiacomo Magnani\Giangiacomo-Magnani,it ITA,DF,Sassuolo,it Serie A,23,1995,1.6,1,0,0,4,2,0,0,1,0,0,0,0,16,10,1,90.9
1501,Hugo Magnetti\Hugo-Magnetti,fr FRA,MF,Brest,fr Ligue 1,21,1998,2.6,1,0,0,3,6,0,6,7,11,0,0,0,36,3,2,60
1502,Harry Maguire\Harry-Maguire,eng ENG,DF,Manchester Utd,eng Premier League,26,1993,38,6,0,0,33,22,6,1,55,27,0,0,0,434,193,69,73.7
1503,Abdallahi Mahmoud\Abdallahi-Mahmoud,mr MTN,MF,Alavés,es La Liga,19,2000,1.7,1,0,0,3,4,0,0,4,5,0,0,0,9,4,3,57.1
1504,Riyad Mahrez\Riyad-Mahrez,dz ALG,FW,Manchester City,eng Premier League,28,1991,21.6,0,0,0,13,29,13,52,15,21,5,0,0,140,10,23,30.3
1505,Thiago Maia\Thiago-Maia,br BRA,MF,Lille,fr Ligue 1,22,1997,0.5,0,0,0,1,1,0,0,1,3,0,0,0,7,1,1,50
1506,Arne Maier\Arne-Maier,de GER,MF,Hertha BSC,de Bundesliga,20,1999,5.9,0,0,0,4,4,0,7,5,2,0,0,0,61,2,7,22.2
1507,Habib Maïga\Habib-Maiga,ci CIV,MF,Metz,fr Ligue 1,23,1996,25.2,7,0,0,47,26,1,39,23,68,0,0,0,280,38,37,50.7
1508,Mike Maignan\Mike-Maignan,fr FRA,GK,Lille,fr Ligue 1,23,1995,28,0,0,0,0,6,0,0,0,0,0,0,0,140,1,0,100
1509,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,DF,Arsenal,eng Premier League,21,1997,15.4,6,1,1,15,13,0,20,17,27,0,0,0,131,14,13,51.9
1510,Josh Maja\Josh-Maja,ng NGA,FW,Bordeaux,fr Ligue 1,20,1998,8.2,0,0,0,17,11,4,0,3,5,0,0,0,40,5,23,17.9
1511,Abdul Majeed Waris\Abdul-Majeed-Waris,gh GHA,FW,Strasbourg,fr Ligue 1,27,1991,4.1,1,0,0,8,20,1,4,4,6,0,0,0,21,1,5,16.7
1512,Žan Majer\Zan-Majer,si SVN,MF,Lecce,it Serie A,27,1992,18.5,7,0,0,28,15,1,24,18,20,1,0,0,173,11,12,47.8
1513,Jean-Victor Makengo\Jean-Victor-Makengo,fr FRA,MFFW,Toulouse,fr Ligue 1,21,1998,11,1,0,0,21,14,1,6,3,10,0,0,0,65,2,19,9.5
1514,Nemanja Maksimović\Nemanja-Maksimovic,rs SRB,MF,Getafe,es La Liga,24,1995,32.2,5,0,0,22,11,1,5,40,34,0,0,0,312,62,77,44.6
1515,Nikola Maksimović\Nikola-Maksimovic,rs SRB,DF,Napoli,it Serie A,27,1991,20,3,1,0,25,7,0,12,19,21,0,1,0,190,41,21,66.1
1516,Kévin Malcuit\Kevin-Malcuit,ma MAR,DF,Napoli,it Serie A,28,1991,2.8,0,0,0,2,4,0,13,3,5,0,0,0,22,3,2,60
