Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt
40,Chadrac Akolo\Chadrac-Akolo,cd COD,FWMF,Amiens,fr Ligue 1,24,1995,6,2,9,4,44.4,1.49,0.66,0.22,0.5,0,0,0
41,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,24,1995,12.7,0,2,0,0,0.16,0,0,,0,0,0
42,David Alaba\David-Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,1,18,7,38.9,0.65,0.25,0.06,0.14,6,0,0
43,Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,21,1998,15.6,0,10,4,40,0.64,0.26,0,0,0,0,0
44,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,13,7,47,18,38.3,3.6,1.38,0.13,0.33,0,1,1
45,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,2,7,3,42.9,0.29,0.12,0.29,0.67,0,0,0
46,Luis Alberto\Luis-Alberto,es ESP,MF,Lazio,it Serie A,26,1992,34.6,6,99,27,27.3,2.86,0.78,0.05,0.19,11,1,1
47,Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36,1,14,4,28.6,0.39,0.11,0.07,0.25,0,0,0
48,Marc Albrighton\Marc-Albrighton,eng ENG,MFDF,Leicester City,eng Premier League,29,1989,9.6,0,10,2,20,1.04,0.21,0,0,0,0,0
49,Paco Alcácer\Paco-Alcacer,es ESP,FW,Villarreal,es La Liga,25,1993,10.3,4,25,8,32,2.44,0.78,0.16,0.5,1,0,0
50,Paco Alcácer\Paco-Alcacer,es ESP,FW,Dortmund,de Bundesliga,25,1993,5.9,5,15,7,46.7,2.55,1.19,0.33,0.71,0,0,0
51,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,19.7,3,19,8,42.1,0.97,0.41,0.16,0.38,0,0,0
52,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,21.4,2,33,8,24.2,1.54,0.37,0.06,0.25,9,0,0
53,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,2,16,5,31.3,0.49,0.15,0.13,0.4,0,0,0
